RATA-RATA,NILAI UKK,PRAKERIN,Persentase_Kehadiran,Sikap,Status_Pembayaran_Administrasi,Status_Kelulusan
86.69,86.14,89.00,80,Sangat Baik,Lunas,Lulus
83.44,84.33,78.00,80,Sangat Baik,Lunas,Lulus
84.49,90.38,90.00,80,Sangat Baik,Lunas,Lulus
81.73,80.50,92.00,80,Sangat Baik,Lunas,Lulus
77.38,76.16,87.00,80,Baik,Lunas,Lulus
84.44,87.54,95.00,80,Sangat Baik,Lunas,Lulus
81.20,80.65,95.00,80,Baik,Lunas,Lulus
74.86,76.76,85.00,80,Baik,Lunas,Lulus
77.78,75.83,93.00,80,Baik,Lunas,Lulus
79.94,80.99,88.00,80,Baik,Lunas,Lulus
80.18,78.78,85.00,80,Baik,Lunas,Lulus
79.84,79.27,88.00,80,Baik,Lunas,Lulus
75.78,78.06,88.00,80,Baik,Lunas,Lulus
79.87,80.83,87.00,80,Baik,Lunas,Lulus
83.04,87.15,90.00,80,Baik,Lunas,Lulus
80.60,78.10,98.00,80,Baik,Lunas,Lulus
82.08,80.70,87.00,80,Baik,Lunas,Lulus
80.06,78.85,98.00,80,Baik,Lunas,Lulus
81.18,83.44,94.00,80,Baik,Lunas,Lulus
79.15,77.46,90.00,80,Baik,Lunas,Lulus
78.38,78.69,85.00,80,Baik,Lunas,Lulus
81.49,82.96,91.00,80,Baik,Lunas,Lulus
79.18,76.39,87.00,80,Baik,Lunas,Lulus
79.65,82.04,87.00,80,Baik,Lunas,Lulus
80.25,81.21,78.00,80,Baik,Lunas,Lulus
80.85,79.34,88.00,80,Baik,Lunas,Lulus
78.58,76.67,97.00,80,Baik,Lunas,Lulus
73.37,75.38,70.00,80,Baik,Lunas,Lulus
78.82,77.88,97.00,80,Baik,Lunas,Lulus
79.79,78.19,95.00,80,Baik,Lunas,Lulus
74.70,84.75,90.00,80,Baik,Lunas,Lulus
75.58,81.21,87.00,80,Baik,Lunas,Lulus
83.27,86.72,98.00,80,Baik,Lunas,Lulus
74.09,80.28,90.00,80,Baik,Belum,Tidak Lulus
82.38,86.83,88.00,80,Baik,Lunas,Lulus
84.46,90.04,92.00,80,Baik,Lunas,Lulus
77.58,88.58,85.00,80,Baik,Lunas,Lulus
75.64,85.71,96.00,80,Baik,Lunas,Lulus
73.02,82.25,72.00,80,Baik,Lunas,Lulus
76.93,82.89,98.00,80,Baik,Lunas,Lulus
78.55,85.31,89.00,80,Baik,Lunas,Lulus
76.38,84.44,80.00,80,Baik,Lunas,Lulus
77.75,86.96,89.00,80,Baik,Lunas,Lulus
74.58,81.28,85.00,80,Baik,Lunas,Lulus
75.96,81.97,96.00,80,Baik,Lunas,Lulus
76.42,83.98,86.00,80,Baik,Lunas,Lulus
85.32,89.75,93.00,80,Sangat Baik,Lunas,Lulus
80.31,86.46,99.00,80,Baik,Lunas,Lulus
77.07,84.10,84.00,80,Baik,Lunas,Lulus
84.74,89.24,87.00,80,Sangat Baik,Lunas,Lulus
83.13,88.80,86.00,80,Baik,Lunas,Lulus
75.26,84.15,91.00,80,Baik,Lunas,Lulus
80.34,87.32,80.00,80,Baik,Lunas,Lulus
77.72,83.28,86.00,80,Baik,Lunas,Lulus
84.05,87.91,98.00,80,Sangat Baik,Lunas,Lulus
80.21,85.34,96.00,80,Baik,Lunas,Lulus
78.19,83.08,86.00,80,Baik,Lunas,Lulus
